Властелин колец;Джон Р. Р. Толкиен;4
Гордость и предубеждение;Джейн Остен;8
Трилогия «Тёмные начала»:;Филип Пулман;8
Автостопом по галактике;Дуглас Адамс;2
Гарри Поттер и Кубок огня;Джоан К. Роулинг;9
Убить пересмешника;Харпер Ли;2
Винни-Пух ;Алан Милн;8
1984;Джордж Оруэлл;4
Лев, колдунья и платяной шкаф;Клайв Стэйплс Льюис;4
Джен Эйр;Шарлотта Бронте;2
Уловка-22;Джозеф Хеллер;14
Грозовой перевал;Эмили Бронте;2
Пение птиц;Себастьян Фолкс;2
Ребекка;Дафна дю Морье;0
Над пропастью во ржи;Джером Сэлинджер;0
Ветер в ивах;Кеннет Грэм;3
Большие надежды;Чарльз Диккенс;0
Маленькие женщины;Луиза Мэй Олкотт;21
Мандолина капитана Корелли;Луи де Бернье;21
Война и мир;Л.Н. Толстой;8
Унесенные ветром;Маргарет Митчелл;8
Гарри Поттер и философский камень;Джоан К. Роулинг;8
Гарри Поттер и Тайная комната;Джоан К. Роулинг;8
Гарри Поттер и узник Азкабана;Джоан К. Роулинг;4
Хоббит;Джон Р. Р. Толкиен;2
Тэсс из рода д'Эрбервиллей;Томас Харди;1
Миддлмарч;Джордж Элиот;4
Молитва об Оуэне Мини;Джон Ирвинг;8
Гроздья гнева;Джон Стейнбек;9
Алиса в Стране Чудес;Льюис Кэрролл;0
Дневник Трейси Бикер;Жаклин Уилсон;21
Сто лет одиночества;Габриэль Гарсиа Маркес;0
Столпы Земли;Кен Фоллетт;0
Жизнь Дэвида Копперфилда, рассказанная им самим;Чарльз Диккенс;0
Чарли и шоколадная фабрика;Роальд Даль;4
Остров сокровищ;Роберт Льюис Стивенсон;0
Город как Элис;Невил Шют;0
Доводы рассудка;Джейн Остен;4
Дюна;Фрэнк Герберт;0
Эмма;Джейн Остен;0
Аня из Зеленых Мезонинов;Люси Мод Монтгомери;0
Обитатели холмов;Ричард Адамс;0
Великий Гэтсби;Фрэнсис Скотт Фитцджеральд;0
Граф Монте-Кристо;Александр Дюма;5
Возвращение в Брайдсхед;Ивлин Во;0
Скотный двор;Джордж Оруэлл;0
Рождественская песнь в прозе;Чарльз Диккенс;0
Вдали от обезумевшей толпы;Томас Харди;4
Спокойной ночи, мистер Том;Мишель Магориан;0
Семейная реликвия;Розамунд Пилчер;0
Таинственный сад;Фрэнсис Бёрнетт;0
О мышах и людях;Джон Стейнбек;2
Противостояние;Стивен Кинг;5
Анна Каренина;Л.Н. Толстой;0
Подходящий жених;Викрам Сет;0
БДВ, или большой и добрый великан;Роальд Даль;0
Ласточки и Амазонки;Артур Рэнсом;0
Черный красавчик;Анна Сьюэлл;0
Артемис Фаул;Йон Колфер;0
Преступление и наказание;Ф.М. Достоевский;4
Крестики-нолики;Мэлори Блэкмен;21
Мемуары гейши;Артур Голден;4
Повесть о двух городах;Чарльз Диккенс;0
Поющие в терновнике;Колин Маккалоу;9
Мор, ученик Смерти;Терри Пратчетт;0
Далекое волшебное дерево;Энид Блайтон;0
Волхв;Джон Роберт Фаулз;0
Стража! Стража!;Терри Пратчетт;0
Повелитель мух;Уильям Голдинг;3
Парфюмер;Патрик Зюскинд;0
Филантропы в рваных штанах;Роберт Тресселл;0
Ночная стража;Терри Пратчетт;0
Матильда;Роальд Даль;0
Дневник Бриджит Джонс;Хелен Филдинг;0
Тайная история;Донна Тартт;3
Женщина в белом;Уилки Коллинз;0
Улисс;Джеймс Джойс;0
Холодный дом;Чарльз Диккенс;0
Двойняшки;Жаклин Уилсон;9
Семейство Твит;Роальд Даль;0
Я захватываю замок;Доди Смит;0
Отверстия;Луис Сачар;0
Горменгаст;Мервин Пик;0
Бог мелочей;Арундати Рой;22
Вики-Ангел;Жаклин Уилсон;0
О дивный новый мир;Олдос Хаксли;1
Неуютная ферма;Стелла Гиббонс;0
Чародей;Раймонд Фэйст;0
На дороге;Джек Керуак;0
Крестный отец;Марио Пьюзо;0
Клан пещерного медведя;Джин Ауэл;0
Цвет волшебства;Терри Пратчетт;2
Алхимик;Пауло Коэльо;0
Кэтрин;Аня Сетон;0
Каин и Авель;Джеффри Арчер;4
Любовь во время чумы;Габриэль Гарсиа Маркес;4
Девчонки в поисках любви;Жаклин Уилсон;1
Дневники принцессы;Мэг Кэбот;0
Дети полуночи;Салман Рушди;0
Трое в лодке, не считая собаки;Джером К. Джером;0
Мелкие боги;Терри Пратчетт;0
Пляж;Алекс Гарленд;3
Дракула;Брэм Стокер;0
Белый пик;Энтони Горовиц;0
Посмертные записки Пиквикского клуба;Чарльз Диккенс;0
Громобой;Энтони Горовиц;0
Осиная фабрика;Иэн Бэнкс;0
День Шакала;Фредерик Форсайт;0
Разрисованная мама;Жаклин Уилсон;0
Джуд Незаметный;Томас Харди;0
Тайный дневник Адриана Моула, ;Сью Таунсенд;0
Жестокое море;Николас Монсаррат;0
Отверженные;Виктор Гюго;0
Мэр Кэстербриджа;Томас Харди;0
Рискованные игры;Жаклин Уилсон;0
Плохие девчонки;Жаклин Уилсон;0
Портрет Дориана Грэя;Оскар Уайльд;0
Сегун;Джеймс Клавелл;0
День триффидов;Джон Уиндем;0
Лола-Роза;Жаклин Уилсон;0
Ярмарка тщеславия;Уильям Теккерей;0
Дом из листьев;Марк Данилевски;0
Библия ядовитого леса;Барбара Кингсолвер;0
Мрачный жнец;Терри Пратчетт;0
Ангус, ремни и конкретные обжимашки;Луис Рэннисон;0
Собака Баскервилей;Артур Конан Дойл;0
Обладать;Антония Байетт;0
Мастер и Маргарита;М. Булгаков;0
Рассказ служанки;Маргарет Этвуд;0
Денни - чемпион мира;Роальд Даль;0
К востоку от рая;Джон Стейнбек;0
Лечение Джорджа Марвелуса;Роальд Даль;0
Вещие сестрички;Терри Пратчетт;0
Цвет пурпурный;Элис Уокер;0
Санта-Хрякус;Терри Пратчетт;0
Тридцать девять ступеней;Джон Бакен;0
Девчонки в слезах;Жаклин Уилсон;0
Вечеринка с ночевкой;Жаклин Уилсон;0
На западном фронте без перемен;Эрих Мария Ремарк;0
В хранилищах музея;Кейт Аткинсон;0
Hi-Fi;Ник Хорнби;0
Оно;Стивен Кинг;0
Джеймс и гигантский персик;Роальд Даль;3
Зеленая миля;Стивен Кинг;0
Мотылек;Анри Шарьер;0
К оружию! К оружию!;Терри Пратчетт;0
Хозяин морей. Командир и штурман;Патрик О'Брайан;0
Ключ от всех дверей;Энтони Горовиц;8
Роковая музыка;Терри Пратчетт;8
Вор времени;Терри Пратчетт;8
Пятый элефант;Терри Пратчетт;2
Искупление;Иэн Макьюэн;13
Секреты;Жаклин Уилсон;0
Серебряный меч;Ян Серрэйлер;0
Пролетая над гнездом кукушки;Кен Кизи;4
Сердце тьмы;Джозеф Конрад;0
Ким;Редьярд Киплинг;0
Чужестранка;Диана Гэблдон;0
Моби Дик, или Белый Кит;Герман Мелвилл;0
Божество реки;Уилбур Смит;0
Песнь на закате;Льюис Грессик Гиббон;0
Корабельные новости;Энни Пру;0
Мир глазами Гарпа;Джон Ирвинг;0
Лорна Дун;Ричард Блэкмор;4
Девчонки гуляют допоздна;Жаклин Уилсон;4
Далекие шатры;Мэри Маргарет Кей;3
Ведьмы;Роальд Даль;0
Паутина Шарлотты;Эдвин Уайт;0
